repository,package,status,fixed_findings,reverted_findings,new_findings,new_in_patched_files,new_errors,new_warnings,new_info,detected,top_rules,codeql_status,codeql_fixed,codeql_reverted,codeql_new,codeql_detected,codeql_top_rules,detected_by,semgrep_messages,codeql_messages,revert_status,files_reverted,note
doc-path_2.0.0,doc-path,revert_failed,0,,,,0,0,0,,,not run,,,,,,,,,failed,0,patch would not reverse-apply; see /Users/saleha/Desktop/cispa/SecBench.js/.prototype-pollution-analysis/doc-path_2.0.0/revert.log
dot-object_2.1.2,dot-object,ok,4,4,0,0,0,0,0,no,,ok,7,7,0,no,,neither,,,partial,3,partial revert: some patched files could not be reverted (see revert.log)
dot-prop_2.0.0,dot-prop,ok,5,5,0,0,0,0,0,no,,ok,4,4,4,yes,Prototype-polluting assignment×3; Prototype-polluting function×1,codeql,,,ok,3,
dotty_0.0.1,dotty,ok,4,4,0,0,0,0,0,no,,ok,1,1,1,yes,Prototype-polluting assignment×1,codeql,,,partial,9,partial revert: some patched files could not be reverted (see revert.log)
eivifj-dot_1.0.2,@eivifj,ok,0,0,0,0,0,0,0,no,,ok,1,1,0,no,,neither,,,ok,3,
extend-merge_1.0.5,extend-merge,ok,0,0,0,0,0,0,0,no,,ok,0,0,0,no,,neither,,,ok,2,
extend_3.0.1,,build_failed,,,,,0,0,0,,,not run,,,,,,,,,,0,docker build failed; see /Users/saleha/Desktop/cispa/SecBench.js/.prototype-pollution-analysis/extend_3.0.1/build.log
firebase-util_0.3.3-canary.c47ba31d0,,build_failed,,,,,0,0,0,,,not run,,,,,,,,,,0,docker build failed; see /Users/saleha/Desktop/cispa/SecBench.js/.prototype-pollution-analysis/firebase-util_0.3.3-canary.c47ba31d0/build.log
flat_5.0.0,flat,ok,6,7,1,1,1,0,0,yes,mini-prototype-pollution-path-write×1,ok,0,0,0,no,,semgrep,,,ok,2,
hoek_5.0.0,hoek,ok,12,12,0,0,0,0,0,no,,ok,2,3,3,yes,Prototype-polluting function×2; Polynomial regular expression used on uncontrolled data×1,codeql,,"Prototype-polluting function @ /lib/index.js — Properties are copied from [[""source""|""relative:///lib/index.js:115:30:115:35""]] to [[""target""|""relative:///lib/index.js:129:17:129:22""]] without guarding against prototype pollution. || Prototype-polluting function @ /lib/index.js — The property chain [[""here""|""relative:///lib/index.js:221:25:221:31""]] is recursively assigned to [[""ref""|""relative:///lib/index.js:223:13:223:15""]] without guarding against prototype pollution. || Polynomial regular expression used on uncontrolled data @ /lib/index.js — This [[""regular expression""|""relative:///lib/index.js:634:32:634:36""]] that depends on [[""library input""|""relative:///lib/index.js:632:40:632:47""]] may run slow on strings starting with '{' and with many repetitions of …",ok,2,
i18next_19.7.0,i18next,ok,21,21,0,0,0,0,0,no,,ok,5,6,1,yes,Prototype-polluting assignment×1,codeql,,,partial,1,partial revert: some patched files could not be reverted (see revert.log)
immer_8.0.0,immer,ok,10,10,0,0,0,0,0,no,,ok,0,0,0,no,,neither,,,ok,2,
inireader_1.0.0,inireader,ok,1,2,1,1,1,0,0,yes,mini-prototype-pollution-path-write×1,ok,2,5,3,yes,Prototype-polluting assignment×3,both,,,partial,3,partial revert: some patched files could not be reverted (see revert.log)
jointjs_2.2.1,jointjs,ok,118,120,2,0,0,2,0,yes,detect-non-literal-regexp×2,ok,37,37,0,no,,semgrep,,,ok,2,
jointjs_3.4.0,jointjs,ok,118,120,2,0,0,2,0,yes,detect-non-literal-regexp×2,ok,37,37,0,no,,semgrep,"detect-non-literal-regexp @ src/V/index.mjs:1009 — RegExp() called with a `className` function argument, this might allow an attacker to cause a Regular Expression Denial-of-Service (ReDoS) within your application as RegExP blocks the main thread. For this reason, it is… || detect-non-literal-regexp @ src/V/index.mjs:1025 — RegExp() called with a `className` function argument, this might allow an attacker to cause a Regular Expression Denial-of-Service (ReDoS) within your application as RegExP blocks the main thread. For this reason, it is…",,ok,2,
jquery_1.11.0,,build_failed,,,,,0,0,0,,,not run,,,,,,,,,,0,docker build failed; see /Users/saleha/Desktop/cispa/SecBench.js/.prototype-pollution-analysis/jquery_1.11.0/build.log
js-ini_1.2.0,js-ini,ok,0,1,1,1,1,0,0,yes,mini-prototype-pollution-path-write×1,ok,1,2,2,yes,Prototype-polluting assignment×1; Polynomial regular expression used on uncontrolled data×1,both,"mini-prototype-pollution-path-write @ src/parse.ts:18 — Writes through a caller-supplied property path without rejecting the `__proto__`, `constructor` and `prototype` segments, so a crafted path reaches Object.prototype (prototype pollution).","Prototype-polluting assignment @ /src/parse.ts — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///src/parse.ts:18:23:18:26""]]. || Polynomial regular expression used on uncontrolled data @ /src/parse.ts — This [[""regular expression""|""relative:///src/parse.ts:16:30:16:31""]] that depends on [[""library input""|""relative:///src/parse.ts:18:23:18:26""]] may run slow on strings starting with '[' and with many repetitions of '[a'.",partial,11,partial revert: some patched files could not be reverted (see revert.log)
json-schema_0.3.0,json-schema,ok,2,2,0,0,0,0,0,no,,ok,0,0,0,no,,neither,,,partial,2,partial revert: some patched files could not be reverted (see revert.log)
jsonpointer_4.0.0,jsonpointer,ok,4,4,0,0,0,0,0,no,,ok,4,4,4,yes,Prototype-polluting assignment×4,codeql,,"Prototype-polluting assignment @ /jsonpointer.js — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///jsonpointer.js:75:15:75:17""]]. This assignment may alter Object.prototype if a malicious '__pr… || Prototype-polluting assignment @ /jsonpointer.js — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///jsonpointer.js:75:15:75:17""]]. This assignment may alter Object.prototype if a malicious '__pr… || Prototype-polluting assignment @ /jsonpointer.js — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///jsonpointer.js:75:15:75:17""]]. This assignment may alter Object.prototype if a malicious '__pr… || Prototype-polluting assignment @ /jsonpointer.js — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///jsonpointer.js:75:15:75:17""]]. This assignment may alter Object.prototype if a malicious '__pr…",ok,5,
just-safe-set_1.0.0,just-safe-set,ok,2,2,0,0,0,0,0,no,,ok,2,2,0,no,,neither,,,ok,3,
keyget_2.2.0,keyget,ok,1,1,0,0,0,0,0,no,,ok,6,4,2,yes,Prototype-polluting assignment×2,codeql,,"Prototype-polluting assignment @ /index.js — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///index.js:170:21:170:24""]]. || Prototype-polluting assignment @ /index.js — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///index.js:170:21:170:24""]].",partial,3,partial revert: some patched files could not be reverted (see revert.log)
libnested_1.5.0,libnested,ok,1,1,0,0,0,0,0,no,,ok,0,2,2,yes,Prototype-polluting assignment×2,codeql,,"Prototype-polluting assignment @ /index.js — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///index.js:22:20:22:23""]]. || Prototype-polluting assignment @ /index.js — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///index.js:22:20:22:23""]].",ok,1,
linux-cmdline_1.0.0,linux-cmdline,ok,1,2,1,1,1,0,0,yes,mini-prototype-pollution-path-write×1,ok,0,0,0,no,,semgrep,"mini-prototype-pollution-path-write @ index.js:1 — Writes through a caller-supplied property path without rejecting the `__proto__`, `constructor` and `prototype` segments, so a crafted path reaches Object.prototype (prototype pollution).",,ok,2,
lodash_4.17.15,lodash,ok,33,33,0,0,0,0,0,no,,ok,16,16,9,yes,Polynomial regular expression used on uncontrolled data×5; Prototype-polluting assignment×4,codeql,,"Prototype-polluting assignment @ /lodash.js — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lodash.js:8652:28:8652:32""]]. This assignment may alter Object.prototype if a malicious '__pro… || Prototype-polluting assignment @ /lodash.js — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lodash.js:13135:26:13135:29""]]. This assignment may alter Object.prototype if a malicious '__p… || Prototype-polluting assignment @ /lodash.js — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lodash.js:13135:26:13135:29""]]. This assignment may alter Object.prototype if a malicious '__p… || Prototype-polluting assignment @ /lodash.js — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lodash.js:13135:26:13135:29""]]. This assignment may alter Object.prototype if a malicious '__p… || Polynomial regular expression used on uncontrolled data @ /lodash.js — This [[""regular expression""|""relative:///lodash.js:178:18:178:20""]] that depends on [[""library input""|""relative:///lodash.js:4817:35:4817:42""]] may run slow on strings with many repetitions of 'a'. This [[""regular expre… || Polynomial regular expression used on uncontrolled data @ /lodash.js — This [[""regular expression""|""relative:///lodash.js:156:22:156:24""]] that depends on [[""library input""|""relative:///lodash.js:5328:23:5328:27""]] may run slow on strings with many repetitions of ' '. This [[""regular expre… || (+3 more)",partial,1,partial revert: some patched files could not be reverted (see revert.log)
lodash_4.17.9,lodash,revert_failed,33,,,,0,0,0,,,not run,,,,,,,,,failed,0,patch would not reverse-apply; see /Users/saleha/Desktop/cispa/SecBench.js/.prototype-pollution-analysis/lodash_4.17.9/revert.log
