path,kind,category,benchmark,source_tag,source_run_dir,source_path,outcome
path-traversal/angular-http-server_1.0.0,unique,path-traversal,angular-http-server_1.0.0,judge14,path-traversal/angular-http-server_1.0.0,stratified-samples-full-loop-judge14/path-traversal/angular-http-server_1.0.0,not-solved
path-traversal/crud-file-server_0.7.0,unique,path-traversal,crud-file-server_0.7.0,judge14,path-traversal/crud-file-server_0.7.0,stratified-samples-full-loop-judge14/path-traversal/crud-file-server_0.7.0,failed
path-traversal/glance_3.0.0,unique,path-traversal,glance_3.0.0,judge14,path-traversal/glance_3.0.0,stratified-samples-full-loop-judge14/path-traversal/glance_3.0.0,failed
path-traversal/hangersteak_0.2.2,unique,path-traversal,hangersteak_0.2.2,judge14,path-traversal/hangersteak_0.2.2,stratified-samples-full-loop-judge14/path-traversal/hangersteak_0.2.2,failed
path-traversal/m-server_1.4.0,unique,path-traversal,m-server_1.4.0,judge14,path-traversal/m-server_1.4.0,stratified-samples-full-loop-judge14/path-traversal/m-server_1.4.0,not-solved
path-traversal/node-simple-router_0.10.0,unique,path-traversal,node-simple-router_0.10.0,judge14,path-traversal/node-simple-router_0.10.0,stratified-samples-full-loop-judge14/path-traversal/node-simple-router_0.10.0,not-solved
prototype-pollution/assign-deep_1.0.0,unique,prototype-pollution,assign-deep_1.0.0,judge14,prototype-pollution/assign-deep_1.0.0,stratified-samples-full-loop-judge14/prototype-pollution/assign-deep_1.0.0,SOLVED_SAFE
prototype-pollution/cached-path-relative_1.0.1,unique,prototype-pollution,cached-path-relative_1.0.1,base,prototype-pollution/cached-path-relative_1.0.1-solved,stratified-samples-full-loop/prototype-pollution/cached-path-relative_1.0.1-solved,SOLVED
prototype-pollution/changeset_0.1.0,unique,prototype-pollution,changeset_0.1.0,judge10,prototype-pollution/changeset_0.1.0-solved,stratified-samples-full-loop-judge10/prototype-pollution/changeset_0.1.0-solved,SOLVED
prototype-pollution/confinit_0.3.0,unique,prototype-pollution,confinit_0.3.0,judge14,prototype-pollution/confinit_0.3.0,stratified-samples-full-loop-judge14/prototype-pollution/confinit_0.3.0,not-solved
prototype-pollution/deep-extend_0.5.0,unique,prototype-pollution,deep-extend_0.5.0,judge14,prototype-pollution/deep-extend_0.5.0,stratified-samples-full-loop-judge14/prototype-pollution/deep-extend_0.5.0,SOLVED_SAFE
prototype-pollution/deep-override_1.0.0,unique,prototype-pollution,deep-override_1.0.0,judge14,prototype-pollution/deep-override_1.0.0,stratified-samples-full-loop-judge14/prototype-pollution/deep-override_1.0.0,SOLVED_SAFE
prototype-pollution/deephas_1.0.5,unique,prototype-pollution,deephas_1.0.5,judge8,prototype-pollution/deephas_1.0.5,stratified-samples-full-loop-judge8/prototype-pollution/deephas_1.0.5,not-solved
prototype-pollution/deeply_3.0.0,unique,prototype-pollution,deeply_3.0.0,judge8,prototype-pollution/deeply_3.0.0-solved,stratified-samples-full-loop-judge8/prototype-pollution/deeply_3.0.0-solved,SOLVED
prototype-pollution/deepref_1.1.1,unique,prototype-pollution,deepref_1.1.1,judge10,prototype-pollution/deepref_1.1.1,stratified-samples-full-loop-judge10/prototype-pollution/deepref_1.1.1,SOLVED
prototype-pollution/defaults-deep_0.2.0,unique,prototype-pollution,defaults-deep_0.2.0,judge14,prototype-pollution/defaults-deep_0.2.0,stratified-samples-full-loop-judge14/prototype-pollution/defaults-deep_0.2.0,SOLVED
prototype-pollution/dot-object_2.1.2,unique,prototype-pollution,dot-object_2.1.2,judge6,prototype-pollution/dot-object_2.1.2,stratified-samples-full-loop-judge6/prototype-pollution/dot-object_2.1.2,not-solved
prototype-pollution/dot-prop_2.0.0,unique,prototype-pollution,dot-prop_2.0.0,judge8,prototype-pollution/dot-prop_2.0.0,stratified-samples-full-loop-judge8/prototype-pollution/dot-prop_2.0.0,failed
prototype-pollution/eivifj-dot_1.0.2,unique,prototype-pollution,eivifj-dot_1.0.2,judge8,prototype-pollution/eivifj-dot_1.0.2,stratified-samples-full-loop-judge8/prototype-pollution/eivifj-dot_1.0.2,not-solved
prototype-pollution/extend-merge_1.0.5,unique,prototype-pollution,extend-merge_1.0.5,judge8,prototype-pollution/extend-merge_1.0.5,stratified-samples-full-loop-judge8/prototype-pollution/extend-merge_1.0.5,SOLVED_SAFE
prototype-pollution/flat_5.0.0,unique,prototype-pollution,flat_5.0.0,judge6,prototype-pollution/flat_5.0.0,stratified-samples-full-loop-judge6/prototype-pollution/flat_5.0.0,failed
prototype-pollution/hoek_5.0.0,unique,prototype-pollution,hoek_5.0.0,base,prototype-pollution/hoek_5.0.0-solved,stratified-samples-full-loop/prototype-pollution/hoek_5.0.0-solved,SOLVED
prototype-pollution/inireader_1.0.0,unique,prototype-pollution,inireader_1.0.0,judge8,prototype-pollution/inireader_1.0.0,stratified-samples-full-loop-judge8/prototype-pollution/inireader_1.0.0,SOLVED_SAFE
prototype-pollution/json-schema_0.3.0,unique,prototype-pollution,json-schema_0.3.0,base,prototype-pollution/json-schema_0.3.0-solved,stratified-samples-full-loop/prototype-pollution/json-schema_0.3.0-solved,SOLVED
prototype-pollution/jsonpointer_4.0.0,unique,prototype-pollution,jsonpointer_4.0.0,judge10,prototype-pollution/jsonpointer_4.0.0,stratified-samples-full-loop-judge10/prototype-pollution/jsonpointer_4.0.0,SOLVED_SAFE
prototype-pollution/keyget_2.2.0,unique,prototype-pollution,keyget_2.2.0,judge8,prototype-pollution/keyget_2.2.0,stratified-samples-full-loop-judge8/prototype-pollution/keyget_2.2.0,SOLVED
prototype-pollution/libnested_1.5.0,unique,prototype-pollution,libnested_1.5.0,judge14,prototype-pollution/libnested_1.5.0,stratified-samples-full-loop-judge14/prototype-pollution/libnested_1.5.0,SOLVED
prototype-pollution/linux-cmdline_1.0.0,unique,prototype-pollution,linux-cmdline_1.0.0,judge14,prototype-pollution/linux-cmdline_1.0.0,stratified-samples-full-loop-judge14/prototype-pollution/linux-cmdline_1.0.0,not-solved
prototype-pollution/lodash_4.17.10,unique,prototype-pollution,lodash_4.17.10,judge14,prototype-pollution/lodash_4.17.10,stratified-samples-full-loop-judge14/prototype-pollution/lodash_4.17.10,SOLVED
prototype-pollution/lodash_4.17.9,unique,prototype-pollution,lodash_4.17.9,base,prototype-pollution/lodash_4.17.9,stratified-samples-full-loop/prototype-pollution/lodash_4.17.9,failed
prototype-pollution/merge-deep_3.0.0,unique,prototype-pollution,merge-deep_3.0.0,judge14,prototype-pollution/merge-deep_3.0.0,stratified-samples-full-loop-judge14/prototype-pollution/merge-deep_3.0.0,not-solved
prototype-pollution/merge-options_1.0.0,unique,prototype-pollution,merge-options_1.0.0,judge8,prototype-pollution/merge-options_1.0.0,stratified-samples-full-loop-judge8/prototype-pollution/merge-options_1.0.0,SOLVED_SAFE
prototype-pollution/mixin-deep_1.3.0,unique,prototype-pollution,mixin-deep_1.3.0,judge14,prototype-pollution/mixin-deep_1.3.0,stratified-samples-full-loop-judge14/prototype-pollution/mixin-deep_1.3.0,SOLVED_SAFE
prototype-pollution/mixin-deep_2.0.0,unique,prototype-pollution,mixin-deep_2.0.0,judge14,prototype-pollution/mixin-deep_2.0.0,stratified-samples-full-loop-judge14/prototype-pollution/mixin-deep_2.0.0,SOLVED
prototype-pollution/node-forge_0.9.0,unique,prototype-pollution,node-forge_0.9.0,judge14,prototype-pollution/node-forge_0.9.0,stratified-samples-full-loop-judge14/prototype-pollution/node-forge_0.9.0,not-solved
prototype-pollution/nodee-utils_1.2.2,unique,prototype-pollution,nodee-utils_1.2.2,judge14,prototype-pollution/nodee-utils_1.2.2,stratified-samples-full-loop-judge14/prototype-pollution/nodee-utils_1.2.2,not-solved
prototype-pollution/object-path-set_1.0.0,unique,prototype-pollution,object-path-set_1.0.0,judge8,prototype-pollution/object-path-set_1.0.0,stratified-samples-full-loop-judge8/prototype-pollution/object-path-set_1.0.0,not-solved
prototype-pollution/object-path_0.11.4,unique,prototype-pollution,object-path_0.11.4,judge10,prototype-pollution/object-path_0.11.4,stratified-samples-full-loop-judge10/prototype-pollution/object-path_0.11.4,SOLVED_SAFE
prototype-pollution/patchmerge_1.0.0,unique,prototype-pollution,patchmerge_1.0.0,judge14,prototype-pollution/patchmerge_1.0.0,stratified-samples-full-loop-judge14/prototype-pollution/patchmerge_1.0.0,SOLVED_SAFE
prototype-pollution/patchmerge_1.0.1,unique,prototype-pollution,patchmerge_1.0.1,judge6,prototype-pollution/patchmerge_1.0.1,stratified-samples-full-loop-judge6/prototype-pollution/patchmerge_1.0.1,failed
prototype-pollution/pathval_1.1.0,unique,prototype-pollution,pathval_1.1.0,judge14,prototype-pollution/pathval_1.1.0,stratified-samples-full-loop-judge14/prototype-pollution/pathval_1.1.0,SOLVED
prototype-pollution/properties-reader_2.0.0,unique,prototype-pollution,properties-reader_2.0.0,judge14,prototype-pollution/properties-reader_2.0.0,stratified-samples-full-loop-judge14/prototype-pollution/properties-reader_2.0.0,not-solved
prototype-pollution/property-expr_2.0.2,unique,prototype-pollution,property-expr_2.0.2,judge8,prototype-pollution/property-expr_2.0.2,stratified-samples-full-loop-judge8/prototype-pollution/property-expr_2.0.2,SOLVED
prototype-pollution/putil-merge_3.0.0,unique,prototype-pollution,putil-merge_3.0.0,judge7,prototype-pollution/putil-merge_3.0.0-solved,stratified-samples-full-loop-judge7/prototype-pollution/putil-merge_3.0.0-solved,SOLVED
prototype-pollution/safe-flat_2.0.0,unique,prototype-pollution,safe-flat_2.0.0,judge7,prototype-pollution/safe-flat_2.0.0-solved-safe,stratified-samples-full-loop-judge7/prototype-pollution/safe-flat_2.0.0-solved-safe,SOLVED_SAFE
prototype-pollution/sds_3.2.0,unique,prototype-pollution,sds_3.2.0,judge8,prototype-pollution/sds_3.2.0,stratified-samples-full-loop-judge8/prototype-pollution/sds_3.2.0,SOLVED
prototype-pollution/set-getter_0.1.0,unique,prototype-pollution,set-getter_0.1.0,judge8,prototype-pollution/set-getter_0.1.0,stratified-samples-full-loop-judge8/prototype-pollution/set-getter_0.1.0,SOLVED
prototype-pollution/set-in_1.0.0,unique,prototype-pollution,set-in_1.0.0,judge7,prototype-pollution/set-in_1.0.0-solved-safe,stratified-samples-full-loop-judge7/prototype-pollution/set-in_1.0.0-solved-safe,SOLVED_SAFE
prototype-pollution/set-or-get_1.2.10,unique,prototype-pollution,set-or-get_1.2.10,judge7,prototype-pollution/set-or-get_1.2.10,stratified-samples-full-loop-judge7/prototype-pollution/set-or-get_1.2.10,failed
prototype-pollution/set-value_3.0.0,unique,prototype-pollution,set-value_3.0.0,judge14,prototype-pollution/set-value_3.0.0,stratified-samples-full-loop-judge14/prototype-pollution/set-value_3.0.0,SOLVED_SAFE
prototype-pollution/strikeentco-set_1.0.0,unique,prototype-pollution,strikeentco-set_1.0.0,judge14,prototype-pollution/strikeentco-set_1.0.0,stratified-samples-full-loop-judge14/prototype-pollution/strikeentco-set_1.0.0,SOLVED
prototype-pollution/total.js_3.4.6,unique,prototype-pollution,total.js_3.4.6,judge14,prototype-pollution/total.js_3.4.6,stratified-samples-full-loop-judge14/prototype-pollution/total.js_3.4.6,not-solved
prototype-pollution/tree-kit_0.6.1,unique,prototype-pollution,tree-kit_0.6.1,judge14,prototype-pollution/tree-kit_0.6.1,stratified-samples-full-loop-judge14/prototype-pollution/tree-kit_0.6.1,SOLVED_SAFE
prototype-pollution/undefsafe_2.0.2,unique,prototype-pollution,undefsafe_2.0.2,judge7,prototype-pollution/undefsafe_2.0.2,stratified-samples-full-loop-judge7/prototype-pollution/undefsafe_2.0.2,SOLVED_SAFE
prototype-pollution/viking04-merge_1.0.0,unique,prototype-pollution,viking04-merge_1.0.0,judge14,prototype-pollution/viking04-merge_1.0.0,stratified-samples-full-loop-judge14/prototype-pollution/viking04-merge_1.0.0,SOLVED
redos/ansi-regex_4.1.0,unique,redos,ansi-regex_4.1.0,judge13,redos/ansi-regex_4.1.0-solved,stratified-samples-full-loop-judge13/redos/ansi-regex_4.1.0-solved,SOLVED
redos/axios_0.21.0,unique,redos,axios_0.21.0,judge13,redos/axios_0.21.0-solved,stratified-samples-full-loop-judge13/redos/axios_0.21.0-solved,SOLVED
redos/brace-expansion_1.1.6,unique,redos,brace-expansion_1.1.6,judge13,redos/brace-expansion_1.1.6,stratified-samples-full-loop-judge13/redos/brace-expansion_1.1.6,SOLVED_SAFE
redos/browserslist_4.16.4,unique,redos,browserslist_4.16.4,judge14,redos/browserslist_4.16.4,stratified-samples-full-loop-judge14/redos/browserslist_4.16.4,not-solved
redos/clean-css_4.1.10,unique,redos,clean-css_4.1.10,judge14,redos/clean-css_4.1.10,stratified-samples-full-loop-judge14/redos/clean-css_4.1.10,SOLVED_SAFE
redos/color-string_1.5.4,unique,redos,color-string_1.5.4,judge14,redos/color-string_1.5.4,stratified-samples-full-loop-judge14/redos/color-string_1.5.4,SOLVED
redos/colors-cli_1.0.25,unique,redos,colors-cli_1.0.25,judge13,redos/colors-cli_1.0.25-solved,stratified-samples-full-loop-judge13/redos/colors-cli_1.0.25-solved,SOLVED
redos/date-and-time_0.14.1,unique,redos,date-and-time_0.14.1,judge14,redos/date-and-time_0.14.1,stratified-samples-full-loop-judge14/redos/date-and-time_0.14.1,SOLVED
redos/dirty-json_0.4.0,unique,redos,dirty-json_0.4.0,judge14,redos/dirty-json_0.4.0,stratified-samples-full-loop-judge14/redos/dirty-json_0.4.0,failed
redos/email-existence_0.1.5,unique,redos,email-existence_0.1.5,judge14,redos/email-existence_0.1.5,stratified-samples-full-loop-judge14/redos/email-existence_0.1.5,SOLVED
redos/forwarded_0.1.0,unique,redos,forwarded_0.1.0,judge14,redos/forwarded_0.1.0,stratified-samples-full-loop-judge14/redos/forwarded_0.1.0,SOLVED
redos/fresh_0.5.0,unique,redos,fresh_0.5.0,judge14,redos/fresh_0.5.0,stratified-samples-full-loop-judge14/redos/fresh_0.5.0,SOLVED
redos/hosted-git-info_3.0.0,unique,redos,hosted-git-info_3.0.0,judge14,redos/hosted-git-info_3.0.0__judge14,stratified-samples-full-loop-judge14/redos/hosted-git-info_3.0.0,SOLVED_SAFE
redos/html-parse-stringify_2.0.0,unique,redos,html-parse-stringify_2.0.0,judge14,redos/html-parse-stringify_2.0.0__judge14,stratified-samples-full-loop-judge14/redos/html-parse-stringify_2.0.0,not-solved
redos/is-email_1.0.0,unique,redos,is-email_1.0.0,judge14,redos/is-email_1.0.0,stratified-samples-full-loop-judge14/redos/is-email_1.0.0,failed
redos/is-my-json-valid_2.20.1,unique,redos,is-my-json-valid_2.20.1,judge13,redos/is-my-json-valid_2.20.1-solved,stratified-samples-full-loop-judge13/redos/is-my-json-valid_2.20.1-solved,SOLVED
redos/method-override_2.0.0,unique,redos,method-override_2.0.0,judge14,redos/method-override_2.0.0,stratified-samples-full-loop-judge14/redos/method-override_2.0.0,SOLVED_SAFE
redos/mobile-detect_1.3.6,unique,redos,mobile-detect_1.3.6,judge14,redos/mobile-detect_1.3.6,stratified-samples-full-loop-judge14/redos/mobile-detect_1.3.6,SOLVED_SAFE
redos/ms_0.7.0,unique,redos,ms_0.7.0,judge14,redos/ms_0.7.0,stratified-samples-full-loop-judge14/redos/ms_0.7.0,not-solved
redos/natural_5.1.0,unique,redos,natural_5.1.0,judge13,redos/natural_5.1.0-solved,stratified-samples-full-loop-judge13/redos/natural_5.1.0-solved,SOLVED
redos/normalize-url_6.0.0,unique,redos,normalize-url_6.0.0,judge14,redos/normalize-url_6.0.0,stratified-samples-full-loop-judge14/redos/normalize-url_6.0.0,SOLVED_SAFE
redos/npm-user-validate_1.0.0,unique,redos,npm-user-validate_1.0.0,judge14,redos/npm-user-validate_1.0.0,stratified-samples-full-loop-judge14/redos/npm-user-validate_1.0.0,SOLVED_SAFE
redos/nth-check_2.0.0,unique,redos,nth-check_2.0.0,judge14,redos/nth-check_2.0.0,stratified-samples-full-loop-judge14/redos/nth-check_2.0.0,not-solved
