=== 78 targets, 3 at a time -> stratified-samples-gapfill ===
Mon Sep 21 23:34:03 EDT 2026
[23:34:06] DONE  code-injection/mol-proto_0.1.3 -> error | docker build failed (rc=1) -- see setup.log
[02:45:58] DONE  prototype-pollution/i18next_19.7.0 -> ok | Pipeline done. seed=hardened, loop=SUCCESS, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['
[02:54:11] DONE  prototype-pollution/immer_8.0.0 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=NO NEW FAILURES ✅ (baseline 18 failing, sti
[03:19:15] DONE  prototype-pollution/jointjs_2.2.1 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 3), gates=FAIL
[03:27:07] DONE  prototype-pollution/jquery_1.11.0 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 3), gates=FAIL
[03:48:32] DONE  prototype-pollution/just-safe-set_1.0.0 -> ok | Pipeline done. seed=hardened, loop=no-win, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED']
[03:54:51] DONE  prototype-pollution/aws-sdk-shared-ini-file-loader_1.0.0-rc.8 -> pipeline-rc-1 | 
[03:59:05] DONE  prototype-pollution/js-ini_1.2.0 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL
[04:26:18] DONE  prototype-pollution/mithril_1.0.0 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL
[05:01:36] DONE  prototype-pollution/mathjs_7.4.0 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=REGRESSION ❌ 8 new failure(s) (baseline 1, 
[05:11:43] DONE  prototype-pollution/mpath_0.4.1 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 2), gates=PASS, final_gate=[
[05:12:28] DONE  prototype-pollution/mquery_3.2.1 -> pipeline-rc-1 | 
[05:24:27] DONE  prototype-pollution/nestie_1.0.0 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL
[05:27:03] DONE  prototype-pollution/nested-property_0.0.5 -> ok | Pipeline done. seed=hardened, loop=SUCCESS, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['
[05:31:38] DONE  prototype-pollution/lodash_4.17.15 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL
[05:49:47] DONE  prototype-pollution/objection_2.0.0 -> ok | Pipeline done. seed=hardened, loop=SUCCESS, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['
[05:49:59] DONE  prototype-pollution/plain-object-merge_1.0.1 -> error | docker build failed (rc=1) -- see setup.log
[05:54:35] DONE  prototype-pollution/object-collider_1.0.3 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=PASSED ✅, gates=FAIL
[06:05:52] DONE  prototype-pollution/prototyped.js_2.0.0 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL
[06:06:01] DONE  prototype-pollution/objnest_5.0.0 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 2), gates=PASS, final_gate=[
[06:15:30] DONE  prototype-pollution/querymen_2.1.3 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL
Terminated: 15             python3 -u run_stratified_full_loop.py -c "$cat" --only "$folder" --csv "$cat=gapfill/$cat.csv" --allow-detected-seed --no-regen --no-preflight --out "$OUT" --src-dir "$SRC" --cost-limit "$COST" --pipeline-timeout "$TIMEOUT" "${resume_flag[@]}" > "$log" 2>&1
Terminated: 15             python3 -u run_stratified_full_loop.py -c "$cat" --only "$folder" --csv "$cat=gapfill/$cat.csv" --allow-detected-seed --no-regen --no-preflight --out "$OUT" --src-dir "$SRC" --cost-limit "$COST" --pipeline-timeout "$TIMEOUT" "${resume_flag[@]}" > "$log" 2>&1
Terminated: 15             python3 -u run_stratified_full_loop.py -c "$cat" --only "$folder" --csv "$cat=gapfill/$cat.csv" --allow-detected-seed --no-regen --no-preflight --out "$OUT" --src-dir "$SRC" --cost-limit "$COST" --pipeline-timeout "$TIMEOUT" "${resume_flag[@]}" > "$log" 2>&1
[06:22:15] DONE  prototype-pollution/shvl_2.0.1 -> rc=143 | no run_meta
[06:22:15] DONE  prototype-pollution/supermixer_1.0.3 -> rc=143 | no run_meta
[06:22:15] DONE  prototype-pollution/set-object-value_0.0.5 -> rc=143 | no run_meta
